Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Rudd, Victor",28:48,2,4,50%,3,8,38%,2,2,100%,2,6,8,4,3,3,4,0,15
"Gilder, Trey",31:37,5,8,63%,2,3,67%,3,8,38%,5,5,10,2,2,3,0,2,19
"Pérez, Rafael",5:30,0,2,0%,0,0,0%,0,0,0%,0,1,1,0,0,0,0,0,0
"Villegas, Johwen",24:32,4,6,67%,0,1,0%,0,0,0%,1,1,2,4,1,1,1,1,8
"López, Carlos 'Yao'",20:24,5,6,83%,0,0,0%,1,2,50%,0,2,2,2,3,2,0,2,11
"Cintrón, Raymond",22:09,0,0,0%,2,3,67%,1,2,50%,0,3,3,6,4,0,0,0,7
"Pizarro, Christian Jomar",28:25,2,5,40%,0,2,0%,2,2,100%,1,7,8,5,2,2,2,0,6
"Matías, Ángel L.",17:54,5,8,63%,0,2,0%,3,3,100%,1,0,1,0,0,3,0,1,13
"Rodriguez, Wilfredo 'Willie'",20:36,6,11,55%,0,0,0%,0,0,0%,3,2,5,2,1,0,1,0,12
Totals:,,29,50,58%,7,19,37%,12,19,63%,13,27,40,25,16,14,8,6,91
