Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"De Jesús, Jezreel",23:12,2,8,25%,2,5,40%,6,6,100%,0,2,2,3,1,2,0,0,16
"Rivera, Edgardo",6:59,0,1,0%,0,0,0%,0,0,0%,0,1,1,0,2,0,0,0,0
"Cintrón, Raymond",30:52,2,4,50%,1,4,25%,6,6,100%,0,6,6,1,3,3,2,0,13
"Ramos, Carlos 'Frankie'",9:13,0,0,0%,0,2,0%,0,0,0%,0,1,1,1,0,0,1,0,0
"Valdez, Carlos",3:32,0,0,0%,0,1,0%,0,0,0%,1,1,2,1,0,1,0,0,0
"Florentino, Enemias",1:14,1,1,100%,0,0,0%,0,0,0%,1,0,1,0,0,0,0,0,2
"Santiago, Jr., Benito",27:15,3,6,50%,1,5,20%,3,6,50%,1,5,6,0,2,4,0,1,12
"Keenan, Justin",38:45,4,7,57%,0,0,0%,2,3,67%,3,5,8,2,3,1,1,1,10
"Pettigrew, Steffphon",35:46,7,12,58%,0,3,0%,2,5,40%,3,3,6,3,4,1,1,0,16
"Martinez, Carlos",6:24,1,2,50%,0,1,0%,0,0,0%,0,1,1,0,0,0,0,0,2
"Gierbolini, Joel",16:30,1,3,33%,0,0,0%,0,0,0%,2,2,4,0,1,1,0,0,2
Totals:,,21,44,48%,4,21,19%,19,26,73%,11,27,38,11,16,13,5,2,73
