Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Wingate, Jason",3:38,0,0,0%,0,1,0%,0,0,0%,0,0,0,1,0,0,0,0,0
"Sanchez, Kennel",11:38,0,0,0%,2,4,50%,2,2,100%,0,1,1,0,0,2,1,0,8
"Cruz, Alvin",40,5,8,63%,1,4,25%,0,3,0%,1,2,3,6,3,3,2,1,13
"Villafane, Luis",38:22,4,7,57%,0,0,0%,0,0,0%,4,9,13,0,2,2,2,1,8
"Carmona, Alejandro 'Bimbo'",39:24,5,11,45%,0,1,0%,2,2,100%,3,4,7,2,4,1,1,2,12
"Latimer, Antonio",8:56,1,1,100%,0,1,0%,1,2,50%,0,2,2,0,1,3,0,0,3
"Ere, Ebi",37:03,6,13,46%,3,12,25%,0,0,0%,2,1,3,1,1,0,1,0,21
"Ibekwe, Ekenechukwu",20:59,3,7,43%,0,1,0%,1,4,25%,3,8,11,1,4,2,4,3,7
Totals:,,24,47,51%,6,24,25%,6,13,46%,13,27,40,11,15,13,11,7,72
