Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Garcia, Angel 'Piwi'",6:32,0,1,0%,0,1,0%,1,2,50%,0,0,0,1,2,2,0,0,1
"Diaz, Guillermo",28:58,4,8,50%,0,4,0%,2,2,100%,1,2,3,5,2,2,1,0,10
"Cintrón, Raymond",9,1,1,100%,1,3,33%,0,0,0%,0,2,2,0,3,0,0,0,5
"Akindele, Jeleel",35:19,8,10,80%,0,0,0%,8,10,80%,5,4,9,1,4,2,0,1,24
"Hodge Jr., Walter",23:20,4,6,67%,1,5,20%,2,2,100%,1,3,4,4,5,1,1,0,13
"Pérez, Rafael",11:21,3,3,100%,0,0,0%,0,0,0%,0,0,0,0,4,1,0,0,6
"Ofoegbu, Ike",26:32,1,3,33%,0,1,0%,1,2,50%,2,3,5,4,3,2,2,0,3
"Villegas, Johwen",23:44,3,5,60%,1,2,50%,2,3,67%,1,1,2,1,3,1,0,0,11
"Pizarro, Christian Jomar",4:10,0,1,0%,0,0,0%,0,0,0%,0,1,1,0,0,0,0,0,0
"Huertas, David",30:59,1,6,17%,5,9,56%,2,2,100%,1,3,4,2,1,1,1,0,19
Totals:,,25,44,57%,8,25,32%,18,23,78%,11,19,30,18,27,12,5,1,92
