Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Guzmán, Ánsel",34:01,6,11,55%,2,5,40%,7,8,88%,2,2,4,7,4,3,5,0,25
"Orozco, William",13:13,1,1,100%,3,3,100%,1,2,50%,0,1,1,1,1,0,0,0,12
"Ayala, Sadell",20:27,1,2,50%,0,1,0%,3,4,75%,2,1,3,0,2,2,0,0,5
"Martinez, Hector",5:59,0,0,0%,0,1,0%,0,0,0%,0,0,0,2,2,0,0,0,0
"Nieves, Joel",22:52,3,4,75%,1,3,33%,3,5,60%,2,3,5,0,3,0,1,1,12
"Morales, Jean Carlos",1:28,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0
"Life, James",36:41,1,6,17%,2,10,20%,2,2,100%,1,0,1,3,2,1,1,0,10
"Monds, David",35:47,13,17,76%,1,6,17%,1,3,33%,12,4,16,2,0,2,2,2,30
"Looby, Kurt",29:32,2,4,50%,0,2,0%,2,2,100%,4,5,9,0,4,1,1,0,6
Totals:,,27,45,60%,9,31,29%,19,26,73%,23,16,39,15,18,9,10,3,100
