Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Fernández, Tjader",25:23,2,3,67%,1,4,25%,0,0,0%,1,1,2,1,4,2,1,0,7
"Suero, Gerardo",38:03,8,10,80%,0,5,0%,2,4,50%,0,2,2,8,1,5,2,0,18
"Zambrana, Xavier",2:22,0,1,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0
"Amaro, Max J",2:09,0,0,0%,0,0,0%,0,0,0%,0,1,1,1,2,0,0,0,0
"Ortiz, Evander J.",17:57,3,5,60%,0,1,0%,0,0,0%,0,0,0,2,0,0,0,0,6
"Belardo, Gabriel J.",30:41,4,9,44%,4,6,67%,1,2,50%,0,7,7,8,0,0,3,0,21
"Meléndez, Ricardo 'Ricky'",7:39,0,0,0%,1,2,50%,0,0,0%,0,0,0,0,0,0,0,0,3
"Burgos, Jeffrey Daniel",7:39,0,2,0%,0,1,0%,0,0,0%,0,1,1,0,0,1,0,0,0
"Glenn, Robert",35:28,9,15,60%,1,1,100%,4,6,67%,4,13,17,5,4,2,0,1,25
"Ramos, Enrique",30:50,7,10,70%,0,0,0%,1,1,100%,2,7,9,0,4,3,0,1,15
"Calderon, Ramon",1:43,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0
Totals:,,33,55,60%,7,20,35%,8,13,62%,7,32,39,25,15,13,6,2,95
