Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Coronado, Juan",34:56,4,8,50%,1,2,50%,2,2,100%,1,4,5,3,1,1,0,0,13
"Hinson, Darnell",33:36,5,7,71%,3,7,43%,0,0,0%,1,1,2,2,3,5,1,0,19
"Rodriguez, Erick",5:54,0,0,0%,0,1,0%,0,0,0%,0,0,0,0,1,0,0,0,0
"Torres, Andres",6:23,0,1,0%,0,1,0%,0,0,0%,1,0,1,1,1,1,0,0,0
"Carmona, Alejandro 'Bimbo'",40,6,11,55%,0,0,0%,3,4,75%,0,6,6,3,2,1,2,0,15
"Harrellson, Josh",40,1,4,25%,1,6,17%,2,2,100%,0,9,9,1,2,1,0,8,7
"Ramos, Peter John",39:09,9,16,56%,0,0,0%,4,5,80%,6,9,15,3,2,3,0,0,22
Totals:,,25,47,53%,5,17,29%,11,13,85%,9,29,38,13,12,12,3,8,76
