Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Gonzalez, Javier",18:04,0,3,0%,2,6,33%,3,4,75%,2,2,4,0,4,1,3,0,9
"Arroyo, Carlos",36:20,5,10,50%,0,4,0%,5,8,63%,1,2,3,4,2,3,1,0,15
"Logan, Dallas",10:02,0,0,0%,0,1,0%,0,0,0%,0,0,0,0,2,0,0,0,0
"Hamilton, Kevin",11:50,0,0,0%,0,3,0%,0,0,0%,0,1,1,0,1,0,0,0,0
"Glynn, Jordan",27:36,3,3,100%,1,6,17%,4,7,57%,3,5,8,1,3,1,2,0,13
"Williams, Leon V.",26:46,3,7,43%,0,0,0%,6,7,86%,3,4,7,0,3,2,1,0,12
"Conklin, Brian",29:56,5,9,56%,0,2,0%,2,2,100%,2,1,3,0,1,0,1,0,12
"Aubry, Jeffrion",8:39,1,1,100%,0,0,0%,0,0,0%,1,1,2,0,0,0,0,0,2
"Mojica, Javier",30:43,1,4,25%,0,7,0%,3,4,75%,0,3,3,4,1,0,1,0,5
Totals:,,18,37,49%,3,29,10%,23,32,72%,12,19,31,9,17,7,9,0,68
