Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Collier, Devon",36:17,7,12,58%,1,2,50%,2,4,50%,1,2,3,3,3,3,3,1,19
"Acosta, Nikko",16,3,6,50%,0,0,0%,2,3,67%,0,3,3,0,1,0,1,0,8
"Abraham, Ryann",17:15,1,1,100%,2,4,50%,2,2,100%,0,2,2,2,1,1,1,0,10
"Maldonado, Hector Luis",3:16,0,0,0%,0,0,0%,0,0,0%,0,0,0,1,0,0,0,0,0
"Han, Francis Jonathan",29:08,3,5,60%,0,2,0%,2,2,100%,2,3,5,5,3,0,2,0,8
"Cotto, Rubén",21:13,1,3,33%,0,1,0%,0,0,0%,0,3,3,1,3,2,1,0,2
"Beltran, Derick",4:23,0,0,0%,0,1,0%,0,0,0%,0,0,0,0,0,0,0,0,0
"Johnson, Dane",23:01,4,4,100%,0,0,0%,4,7,57%,5,0,5,1,4,2,0,0,12
"Imes, David",15:36,0,0,0%,0,2,0%,0,0,0%,0,1,1,0,1,0,2,0,0
"Gaines, Frank",33:33,6,12,50%,2,9,22%,5,7,71%,1,4,5,2,2,1,1,0,23
Totals:,,25,43,58%,5,21,24%,17,25,68%,9,18,27,15,18,9,11,1,82
