Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Gonzalez, Javier",25:14,4,7,57%,1,5,20%,2,2,100%,0,2,2,0,3,2,3,1,13
"Rodriguez, Andres",14:42,0,0,0%,0,1,0%,0,0,0%,0,1,1,3,2,1,0,0,0
"Dalmau, Christian",24:31,2,5,40%,1,4,25%,1,1,100%,0,1,1,4,2,1,1,1,8
"Nunnally, James",33:10,2,7,29%,5,12,42%,8,9,89%,0,6,6,4,2,1,1,0,27
"Santiago, Daniel 'Danny'",29:21,2,5,40%,0,1,0%,1,2,50%,1,7,8,3,4,2,1,1,5
"Aska, Ivan",14:56,5,8,63%,0,0,0%,0,0,0%,1,3,4,0,5,0,0,0,10
"Mojica, Javier",22:02,2,4,50%,0,3,0%,2,4,50%,1,4,5,2,1,0,0,0,6
"Williams, Leon V.",35:37,4,7,57%,0,0,0%,12,16,75%,2,6,8,0,3,3,1,0,20
Totals:,,21,43,49%,7,26,27%,26,34,76%,5,30,35,16,22,10,7,3,89
