Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Galindo, Alex",21:35,3,5,60%,2,6,33%,2,2,100%,0,2,2,2,3,0,1,0,14
"Gonzalez, Javier",5:59,0,0,0%,1,2,50%,0,0,0%,0,1,1,3,1,1,0,0,3
"Rodriguez, Andres",5:33,0,0,0%,0,0,0%,0,0,0%,0,0,0,3,0,0,0,0,0
"Dalmau, Christian",32:24,3,8,38%,2,8,25%,2,2,100%,0,0,0,8,3,3,3,0,14
"Villafane, Luis",4:12,1,2,50%,0,0,0%,0,0,0%,0,0,0,0,0,1,0,0,2
"Ayala, Angel",2:09,1,1,100%,0,0,0%,0,0,0%,0,0,0,0,1,0,0,0,2
"Santiago, Daniel 'Danny'",26:22,5,10,50%,0,0,0%,0,2,0%,3,7,10,2,2,2,0,1,10
"Mickeal, Pete",31:35,4,9,44%,0,3,0%,0,0,0%,3,3,6,3,2,2,3,2,8
"Mojica, Javier",37:50,5,8,63%,3,4,75%,2,2,100%,3,3,6,1,2,1,3,1,21
"Williams, Leon V.",32:18,7,11,64%,0,0,0%,4,4,100%,7,5,12,2,3,3,1,1,18
Totals:,,29,54,54%,8,23,35%,10,12,83%,16,21,37,24,17,13,11,5,92
