Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Rosas, Samuel",7:14,1,1,100%,0,0,0%,0,0,0%,0,0,0,1,0,0,1,0,2
"Nieves, Roberto",3:06,0,0,0%,0,0,0%,0,0,0%,0,1,1,0,0,0,0,0,0
"Maye, James",37:59,9,13,69%,1,2,50%,3,3,100%,3,7,10,3,2,3,0,1,24
"Apodaca, Rick",38:54,4,9,44%,3,8,38%,0,0,0%,1,1,2,0,3,2,1,0,17
"Skeen, Jamie",9:28,2,5,40%,0,0,0%,0,2,0%,1,1,2,1,2,0,0,0,4
"Guzmán, Ánsel",32:45,1,8,13%,1,2,50%,1,1,100%,0,4,4,5,4,4,1,0,6
"Orozco, William",4:37,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0
"Hill, Herbert",33:04,5,10,50%,0,0,0%,6,6,100%,6,10,16,2,3,3,0,0,16
"Garcia, Angel 'Piwi'",32:49,5,9,56%,2,4,50%,6,7,86%,4,3,7,0,2,1,2,1,22
Totals:,,27,55,49%,7,16,44%,16,19,84%,15,27,42,12,16,13,5,2,91
