Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Pellot, Jesse",16:30,0,3,0%,1,3,33%,1,2,50%,1,2,3,0,2,3,1,1,4
"Lee, Carmelo Antrone",24:51,2,2,100%,4,6,67%,4,5,80%,0,3,3,1,1,1,1,1,20
"Jimenez, Giovanni",1:01,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,1,0,0,0,0
"García, Jonathan",28:40,1,4,25%,2,3,67%,4,4,100%,1,2,3,4,2,2,1,0,12
"Colón, Alexis 'Bebo'",8:28,1,2,50%,0,0,0%,0,0,0%,2,1,3,0,2,0,0,1,2
"Reyes, Angelo",6:10,2,3,67%,0,0,0%,0,0,0%,1,2,3,1,1,0,0,0,4
"Mata, Lorenzo",24:04,4,6,67%,0,0,0%,4,4,100%,1,6,7,2,4,1,0,1,12
"Meléndez, Ricardo 'Ricky'",23:03,2,5,40%,2,4,50%,6,8,75%,1,0,1,2,1,2,0,0,16
"Sanders, Thomas",10:18,0,0,0%,0,0,0%,0,0,0%,0,2,2,2,2,3,1,0,0
"Huertas, David",31:31,1,2,50%,1,5,20%,2,4,50%,1,2,3,4,3,1,0,0,7
"Phillip, Darren",25:20,4,14,29%,0,0,0%,9,9,100%,6,6,12,4,2,0,1,1,17
Totals:,,17,41,41%,10,21,48%,30,36,83%,14,26,40,20,21,13,5,5,94
