Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Brown, Gilbert",34:56,4,5,80%,1,3,33%,1,4,25%,1,2,3,6,4,4,2,0,12
"Leon, Nick",5:13,0,0,0%,0,0,0%,0,0,0%,0,0,0,1,1,1,1,0,0
"Horne, Jamelle",38:16,8,10,80%,1,3,33%,1,1,100%,2,10,12,4,4,5,0,0,20
"Carmona, Alejandro 'Bimbo'",29:48,11,18,61%,0,0,0%,3,5,60%,0,2,2,2,3,1,1,0,25
"Clemente, Denis",40,2,4,50%,2,7,29%,4,4,100%,0,3,3,6,4,3,1,0,14
"Estwick, Alberto",4:59,0,2,0%,0,1,0%,0,0,0%,0,1,1,1,2,0,0,0,0
"Keenan, Justin",20:58,3,4,75%,0,1,0%,3,8,38%,1,5,6,2,4,1,2,1,9
"Valenzuela, Hector",15:10,0,2,0%,0,0,0%,1,2,50%,0,2,2,0,2,1,2,1,1
"Penn, Kleon",10:33,1,1,100%,0,0,0%,0,0,0%,1,0,1,1,1,0,0,2,2
Totals:,,29,46,63%,4,15,27%,13,24,54%,5,25,30,23,25,16,9,4,83
