Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Amaro, Max J",2:46,0,1,0%,1,1,100%,1,2,50%,0,0,0,0,0,0,0,0,4
"Allende, Leandro",12:40,2,3,67%,0,0,0%,1,1,100%,0,4,4,0,0,0,1,0,5
"Rudd, Victor",29:41,3,3,100%,1,7,14%,3,3,100%,0,11,11,3,3,3,1,0,12
"Abreu, Álex",22:07,3,5,60%,3,6,50%,0,0,0%,0,2,2,2,4,0,2,0,15
"Toro Barea, Arnaldo",19:47,5,6,83%,0,0,0%,0,0,0%,5,6,11,1,2,1,0,0,10
"Ralat, Antonio",2:46,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0
"Piñeiro, Juan Pablo",12:26,3,4,75%,0,0,0%,0,0,0%,1,0,1,2,3,0,2,0,6
"Gandia, Ivan",19:48,0,2,0%,1,4,25%,0,0,0%,0,2,2,1,2,0,3,0,3
"Andújar, Emmanuel 'Emmy'",24:48,2,6,33%,0,1,0%,4,5,80%,0,5,5,5,0,1,0,1,8
"Souberbielle, Marcel",2:46,0,1,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0
"Brady, Chris",22:01,5,8,63%,0,1,0%,0,0,0%,1,1,2,1,2,1,1,2,10
"Goodwin, Archie",28:24,9,13,69%,1,2,50%,0,2,0%,0,1,1,4,1,4,6,1,21
Totals:,,32,52,62%,7,22,32%,9,13,69%,7,32,39,19,17,10,16,4,94
