Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Gonzalez, Javier",22:18,2,3,67%,0,1,0%,0,0,0%,0,3,3,3,1,0,1,0,4
"Doolittle, Kristian",30,1,2,50%,2,4,50%,0,0,0%,1,7,8,2,2,1,0,1,8
"Rodriguez, Angel Daniel",30,4,7,57%,1,5,20%,4,5,80%,0,5,5,12,0,6,0,0,15
"Santiago, Jr., Benito",21:32,1,4,25%,4,7,57%,5,5,100%,1,2,3,0,2,0,0,0,19
"Hernandez, Dewan",15:44,5,5,100%,1,1,100%,0,0,0%,1,3,4,1,2,1,0,2,13
"Pearson, Ryan",10,1,2,50%,0,0,0%,1,2,50%,0,1,1,0,0,0,1,1,3
"Romero, Ismael",24:16,10,14,71%,0,0,0%,1,1,100%,3,2,5,2,2,2,1,0,21
"Cuascut, Luis D",13:10,1,2,50%,1,3,33%,0,0,0%,1,4,5,2,1,1,2,2,5
"Mojica, Javier",33,0,4,0%,2,8,25%,0,0,0%,1,2,3,2,2,1,0,0,6
Totals:,,25,43,58%,11,29,38%,11,13,85%,8,29,37,24,12,12,5,6,94
