Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Ramirez, Luis S.",2:20,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0
"Rodriguez, Erick",28:13,1,4,25%,2,7,29%,0,0,0%,0,2,2,1,3,1,0,0,8
"Jimenez, Giovanni",16:24,0,2,0%,0,1,0%,0,0,0%,0,1,1,0,4,2,0,0,0
"Carmona, Alejandro 'Bimbo'",29:38,10,14,71%,1,4,25%,2,4,50%,4,3,7,0,2,1,3,1,25
"Ramirez, Gabriel",0:45,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0
"Rosa, Angel R.",5:15,0,0,0%,1,2,50%,1,2,50%,0,0,0,0,3,0,0,0,4
"Graham, Paul",10:30,2,4,50%,0,1,0%,0,0,0%,1,1,2,0,0,0,0,0,4
"Rivera, Carlos Rubén",36:03,2,5,40%,2,6,33%,0,1,0%,1,6,7,6,4,2,1,0,10
"Romero, Hector Orlando",35:12,7,13,54%,1,2,50%,5,6,83%,3,7,10,2,3,2,1,2,22
"Valenzuela, Hector",10:09,1,1,100%,0,0,0%,0,0,0%,0,1,1,2,3,1,0,0,2
"Lamizana, Herve",18:14,0,5,0%,0,0,0%,2,2,100%,1,4,5,3,4,1,1,3,2
"Del Valle, Williset",7:17,0,0,0%,0,1,0%,0,0,0%,0,0,0,0,3,1,1,0,0
Totals:,,23,48,48%,7,24,29%,10,15,67%,10,25,35,14,29,11,7,6,77
