Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Gaskins, Trevor",28:54,0,4,0%,1,5,20%,0,0,0%,0,1,1,6,2,1,1,0,3
"Ramirez, Luis S.",4:14,0,1,0%,0,0,0%,0,0,0%,0,0,0,1,2,0,0,0,0
"Trenche, Enrique Alberto",1:01,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0
"Jimenez, Giovanni",16:45,0,1,0%,0,1,0%,2,4,50%,0,2,2,3,2,0,0,0,2
"Galindo, Alex",35:01,7,15,47%,3,8,38%,4,4,100%,5,2,7,1,2,3,0,0,27
"Figueroa, Angel 'Buster'",22:10,1,7,14%,0,0,0%,0,0,0%,1,3,4,3,3,2,2,0,2
"Moon, Jamario",39:59,4,9,44%,3,7,43%,1,1,100%,0,10,10,2,2,2,2,1,18
"Young, Kevin",38:33,7,10,70%,1,3,33%,0,0,0%,5,5,10,2,3,2,3,0,17
"Valencia, Florentino",13:16,1,3,33%,0,0,0%,1,2,50%,0,1,1,1,2,1,1,0,3
Totals:,,20,50,40%,8,24,33%,8,11,73%,11,24,35,19,18,11,9,1,72
