Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Ogilvy, Andrew James",20:17,3,6,50%,0,0,0%,4,4,100%,2,1,3,2,1,1,2,0,10
"Logan, Dallas",21:43,3,4,75%,1,2,50%,0,0,0%,2,3,5,4,2,4,1,0,9
"Alvarado, Omar J.",11:15,0,0,0%,0,1,0%,0,0,0%,0,2,2,1,2,0,0,0,0
"DeLeon, Adris",30,8,10,80%,0,3,0%,2,3,67%,1,0,1,5,2,1,2,0,18
"Colón, Alexis 'Bebo'",31:45,3,4,75%,3,4,75%,0,0,0%,1,2,3,2,4,0,3,0,15
"Milbourne, Landon",23:41,7,11,64%,0,2,0%,1,3,33%,3,9,12,1,1,0,0,0,15
"Meléndez, Ricardo 'Ricky'",25:31,0,5,0%,3,6,50%,0,0,0%,0,0,0,1,2,0,0,0,9
"Sánchez, Ricardo 'Ricky'",35:44,1,5,20%,0,3,0%,3,4,75%,0,4,4,3,3,3,3,1,5
Totals:,,25,45,56%,7,21,33%,10,14,71%,9,21,30,19,17,9,11,1,81
