Date,Local Time,Road Team,Score,Home Team,Inn.,Venue,Game Time,Attendance,Boxscore
"Mar 12, 2013",13:00,Italy,4–5,Dominican Republic,,Marlins Park,3:17,14482,Boxscore
"Mar 12, 2013",20:00,Puerto Rico,1–7,United States,,Marlins Park,3:22,32872,Boxscore
"Mar 13, 2013",19:00,Italy,3–4,Puerto Rico,,Marlins Park,3:46,27296,Boxscore
"Mar 14, 2013",19:00,Dominican Republic,3–1,United States,,Marlins Park,3:17,34366,Boxscore
"Mar 15, 2013",19:00,Puerto Rico,4–3,United States,,Marlins Park,3:24,19762,Boxscore
"Mar 16, 2013",13:00,Puerto Rico,0–2,Dominican Republic,,Marlins Park,2:58,25846,Boxscore
