Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Young, Anthony",18:48,2,4,50%,0,1,0%,1,2,50%,0,3,3,1,3,1,0,0,5
"Alamo, Angel 'Junito'",38:33,8,9,89%,2,5,40%,7,7,100%,1,9,10,0,2,2,3,2,29
"Clemente, Denis",31:02,6,11,55%,1,6,17%,1,2,50%,1,2,3,5,1,0,1,0,16
"Cortes, David",14:33,0,0,0%,1,1,100%,0,0,0%,0,3,3,0,0,1,0,0,3
"Cruz, Alvin",7:31,0,0,0%,0,0,0%,0,0,0%,0,0,0,2,0,0,0,0,0
"Pizarro, Christian Jomar",1:26,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0
"Soto, Christian A.",27:27,0,0,0%,0,1,0%,0,2,0%,1,4,5,2,2,1,0,0,0
"Huertas, David",36:05,5,6,83%,0,5,0%,4,4,100%,0,8,8,3,3,5,0,0,14
"Matías, Ángel L.",20:13,3,6,50%,0,1,0%,2,2,100%,3,2,5,2,2,2,2,0,8
"Toro, Fabian",1:26,0,1,0%,0,0,0%,0,0,0%,0,1,1,0,0,0,0,0,0
"Rodriguez, Joel M.",1:26,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0
"Valencia, Florentino",1:26,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0
Totals:,,24,37,65%,4,20,20%,15,19,79%,6,32,38,15,13,12,6,2,75
