Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"López, Carlos 'Yao'",34:17,3,5,60%,0,0,0%,1,1,100%,2,8,10,1,1,1,0,0,7
"Sosa, Isaac",23:51,1,4,25%,1,3,33%,0,0,0%,1,1,2,2,0,1,0,0,5
"Browne, Gary",34:46,7,11,64%,2,4,50%,5,6,83%,0,7,7,8,1,2,1,0,25
"Franklin, Alexander",25:06,3,5,60%,0,0,0%,2,2,100%,1,3,4,5,1,3,3,0,8
"Polo, Tyler",3:13,0,0,0%,0,0,0%,0,0,0%,1,0,1,0,1,1,0,0,0
"Cruz, William",5:15,0,0,0%,0,2,0%,2,2,100%,0,0,0,0,0,1,0,0,2
"Graham, Paul",5:31,0,1,0%,0,0,0%,0,0,0%,0,0,0,0,1,1,1,0,0
"Keenan, Justin",32:38,5,11,45%,0,1,0%,5,6,83%,2,4,6,0,1,4,0,0,15
"Ebanks, Devin",31:28,5,14,36%,0,2,0%,2,2,100%,1,4,5,1,1,1,1,0,12
"Branch, Onzie",3:51,0,1,0%,0,0,0%,0,0,0%,0,1,1,1,0,0,0,0,0
Totals:,,24,52,46%,3,12,25%,17,19,89%,8,28,36,18,7,15,6,0,74
