Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Clemente, Ramon",18:01,0,1,0%,1,3,33%,1,2,50%,1,2,3,0,3,1,0,0,4
"Clavell, Gilberto",9:48,0,1,0%,0,1,0%,2,2,100%,0,0,0,0,3,0,0,0,2
"Labissiere, Skal",37:13,8,11,73%,2,3,67%,3,3,100%,4,7,11,3,0,0,1,3,25
"Piñeiro, Juan Pablo",0:15,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,1,0,0,0,0
"Rivera, Filiberto",19:28,0,1,0%,0,2,0%,0,0,0%,0,3,3,3,3,0,0,0,0
"Sosa, Isaac",29:30,2,2,100%,7,10,70%,2,2,100%,0,1,1,1,3,3,0,0,27
"Clavell, Gian",35,2,4,50%,4,11,36%,3,3,100%,0,2,2,4,4,3,3,0,19
"Matías, Ángel L.",20:24,3,4,75%,0,0,0%,1,2,50%,1,2,3,0,3,1,0,0,7
"Barea, José Juan",30:21,5,11,45%,0,3,0%,4,4,100%,0,2,2,13,3,4,0,0,14
Totals:,,20,35,57%,14,33,42%,16,18,89%,6,19,25,24,23,12,4,3,98
