Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Reese, Derek",0:22,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,1,0,0,0,0
"Conditt IV, George",30:18,4,6,67%,1,2,50%,0,0,0%,1,5,6,1,3,0,0,4,11
"Scott, Monty",11:41,1,4,25%,0,0,0%,0,0,0%,0,3,3,2,2,1,0,0,2
"García, Jonathan",14:10,0,1,0%,0,2,0%,0,0,0%,0,2,2,2,0,0,2,0,0
"Tillman, Justin",35:58,8,14,57%,0,1,0%,1,4,25%,7,5,12,0,2,3,1,1,17
"Guitián, José",3:40,0,0,0%,0,0,0%,0,0,0%,0,1,1,0,0,0,0,0,0
"Crawford, Jordan",36:24,2,7,29%,2,8,25%,0,0,0%,1,4,5,6,1,2,0,0,10
"Cruz, Jesus",26:43,5,7,71%,0,3,0%,1,1,100%,0,3,3,3,4,1,2,1,11
"Torres, Julian",9:42,2,3,67%,0,0,0%,2,2,100%,1,2,3,0,1,1,1,0,6
"Rodriguez, Ernesto",0:38,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,3,0,0,0,0
"Waters, Tremont",30:24,1,6,17%,3,10,30%,2,4,50%,0,3,3,7,2,4,3,1,13
Totals:,,23,48,48%,6,26,23%,6,11,55%,10,28,38,21,19,12,9,7,70
