Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Efejuku-Rose, Weyinmi",30:46,7,9,78%,2,3,67%,2,2,100%,1,3,4,1,0,3,1,0,22
"Figueroa, Carlos",5:14,0,0,0%,1,1,100%,0,0,0%,0,0,0,0,0,0,0,0,3
"Rosario, Mike",21:57,2,9,22%,2,7,29%,2,2,100%,0,3,3,1,1,1,0,0,12
"Colon, Gabriel 'Pirulo'",13:32,0,0,0%,1,2,50%,1,2,50%,0,5,5,2,2,0,1,0,4
"Gaston, Chris",5:14,2,3,67%,0,0,0%,1,4,25%,2,0,2,0,0,4,1,0,5
"Emory, Carlos",22:01,1,4,25%,1,2,50%,2,4,50%,1,5,6,3,0,2,1,0,7
"Santiago, Eddin",20:47,0,0,0%,1,3,33%,0,0,0%,0,3,3,8,2,1,4,0,3
"Harris, Mike",26:27,6,10,60%,2,3,67%,1,3,33%,0,7,7,2,2,2,1,1,19
"Jimenez, Giovanni",21:25,1,2,50%,0,1,0%,0,0,0%,0,0,0,4,3,1,2,0,2
"Narvaez, Manuel Antonio",10:09,2,5,40%,0,0,0%,0,0,0%,3,1,4,0,2,0,0,0,4
"Siler, Garret",22:23,8,9,89%,0,0,0%,5,7,71%,3,4,7,1,2,0,1,1,21
Totals:,,29,51,57%,10,22,45%,14,24,58%,10,31,41,22,14,14,12,2,102
