Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Arroyo, Carlos",36:58,6,8,75%,0,7,0%,2,2,100%,0,1,1,11,0,3,1,0,14
"Guitián, José",9:59,1,1,100%,0,0,0%,0,0,0%,1,1,2,0,3,0,0,0,2
"Reese, Derek",13:55,0,2,0%,0,1,0%,0,0,0%,2,0,2,0,0,0,0,0,0
"Liz, Víctor",33:44,8,12,67%,0,5,0%,8,11,73%,3,3,6,1,1,3,3,0,24
"Cruz, Alvin",8:22,0,1,0%,2,4,50%,0,0,0%,0,0,0,0,1,0,1,0,6
"Vassallo, Ángel Daniel",35,4,6,67%,0,3,0%,2,2,100%,1,8,9,5,4,2,1,3,10
"Minnerath, Nick",30:59,3,5,60%,5,10,50%,2,2,100%,0,1,1,1,4,1,1,0,23
"Uter, Adrian",25:04,4,6,67%,0,0,0%,4,6,67%,1,4,5,0,5,1,2,1,12
"Duran, Cliff",5:54,1,1,100%,0,0,0%,0,0,0%,1,1,2,1,1,1,0,0,2
Totals:,,27,42,64%,7,30,23%,18,23,78%,9,19,28,19,19,11,9,4,93
