Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Brown, Gilbert",34:44,4,6,67%,2,3,67%,7,9,78%,0,3,3,1,2,4,2,1,21
"Rodriguez, Joey",4:30,0,0,0%,1,2,50%,2,2,100%,0,0,0,1,0,1,0,0,5
"Horne, Jamelle",26:32,5,7,71%,3,6,50%,3,4,75%,1,6,7,3,4,2,3,1,22
"Nieves, Roberto",6:45,0,1,0%,1,1,100%,0,0,0%,0,0,0,0,0,0,0,0,3
"Carmona, Alejandro 'Bimbo'",38:23,4,11,36%,0,1,0%,6,10,60%,2,9,11,3,2,0,3,0,14
"Clemente, Denis",35:37,4,6,67%,0,2,0%,3,4,75%,0,4,4,7,3,0,0,0,11
"Scott, Seth",34:58,4,8,50%,0,2,0%,2,2,100%,1,7,8,2,2,5,1,3,10
"Valenzuela, Hector",18:27,1,4,25%,0,0,0%,0,0,0%,1,2,3,0,5,0,1,0,2
Totals:,,22,43,51%,7,17,41%,23,31,74%,5,31,36,17,18,12,10,5,88
