Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Lee, Carmelo Antrone",21:38,1,2,50%,2,3,67%,0,0,0%,0,4,4,2,1,0,2,0,8
"García, Jonathan",16:34,0,0,0%,0,1,0%,0,0,0%,0,2,2,2,1,3,1,0,0
"Reyes, Angelo",6:48,1,2,50%,0,1,0%,0,0,0%,0,2,2,0,3,0,0,0,2
"Mata, Lorenzo",30:05,2,5,40%,0,0,0%,4,4,100%,1,9,10,2,0,0,0,3,8
"Lisch, Kevin",33:36,5,6,83%,3,5,60%,2,2,100%,0,5,5,4,0,1,0,0,21
"Díaz, Jorge Brian",4:07,0,0,0%,0,0,0%,0,0,0%,0,0,0,1,0,0,0,0,0
"Meléndez, Ricardo 'Ricky'",22:01,0,0,0%,2,7,29%,2,2,100%,0,1,1,0,0,0,1,0,8
"Huertas, David",35:15,7,9,78%,0,4,0%,1,1,100%,1,3,4,4,3,3,1,0,15
"Redhage, Shawn",29:52,8,12,67%,2,9,22%,1,2,50%,1,4,5,2,3,0,0,1,23
Totals:,,24,36,67%,9,30,30%,10,11,91%,3,30,33,17,11,7,5,4,85
