Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Brown, Gilbert",36:26,5,10,50%,1,5,20%,9,13,69%,1,4,5,6,3,2,4,1,22
"Rodriguez, Joey",4:35,0,0,0%,0,1,0%,0,0,0%,0,0,0,1,0,1,1,0,0
"Rivera, Filiberto",40,4,7,57%,4,9,44%,5,7,71%,0,7,7,3,0,5,1,0,25
"Nieves, Roberto",8:48,0,0,0%,0,2,0%,0,2,0%,0,0,0,0,2,0,0,0,0
"Clemente, Denis",35:24,2,3,67%,4,7,57%,2,2,100%,0,3,3,3,3,4,0,0,18
"Scott, Seth",34:45,4,6,67%,0,1,0%,3,4,75%,1,4,5,1,3,0,1,1,11
"Valenzuela, Hector",2:59,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,1,0,0,0
"Penn, Kleon",37,4,6,67%,0,0,0%,3,4,75%,1,7,8,2,3,3,2,6,11
Totals:,,19,32,59%,9,25,36%,22,32,69%,3,25,28,16,14,16,9,8,87
