Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Escalera, Carlos",35:16,1,3,33%,3,8,38%,2,2,100%,0,6,6,1,2,2,0,0,13
"Figueroa, Angel 'Buster'",34:47,8,15,53%,0,3,0%,2,2,100%,4,4,8,3,0,0,2,1,18
"Walker, Antoine",33:29,4,5,80%,0,3,0%,1,2,50%,1,6,7,3,2,2,2,2,9
"Guzmán, Ánsel",29:49,2,6,33%,0,4,0%,0,0,0%,2,4,6,4,0,3,0,0,4
"Ortiz, Andres",0:52,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,1,0,0,0,0
"Rivera, Jorge Luis",2:02,0,0,0%,0,0,0%,0,0,0%,0,1,1,0,1,0,0,0,0
"Sanchez, Angel M.",5:42,2,3,67%,0,0,0%,1,2,50%,0,1,1,0,0,0,1,0,5
"Villegas, Samuel",7:23,0,0,0%,0,0,0%,0,0,0%,0,0,0,1,1,0,1,0,0
"Vega, Christopher",15:11,0,2,0%,1,2,50%,2,2,100%,0,1,1,1,0,0,0,0,5
"Fizer, Marcus",34:49,11,13,85%,2,3,67%,3,8,38%,1,5,6,2,4,0,0,0,31
Totals:,,28,47,60%,6,23,26%,11,18,61%,8,28,36,15,11,7,6,3,85
