Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Mojica, Sammy",18:10,1,3,33%,1,2,50%,0,0,0%,0,2,2,2,1,2,1,0,5
"Crawford, E.J.",15:38,4,6,67%,1,2,50%,2,2,100%,1,1,2,1,0,0,0,0,13
"Scott, Trevon",31:48,2,4,50%,3,3,100%,0,0,0%,1,4,5,5,2,4,0,1,13
"Pacheco, Georgie",11:45,1,1,100%,1,4,25%,0,0,0%,0,0,0,1,0,0,0,0,5
"Cheatham, Haanif",24:07,1,3,33%,1,1,100%,4,6,67%,0,3,3,0,3,1,2,0,9
"López, Luis",11:28,1,2,50%,1,2,50%,0,0,0%,0,0,0,1,2,2,1,0,5
"Rivera, Carlos Rubén",24:56,1,1,100%,3,6,50%,3,3,100%,0,2,2,5,2,4,2,0,14
"López, Matt",19:18,1,5,20%,0,0,0%,0,0,0%,2,1,3,0,2,1,0,0,2
"Vassallo, Ángel Daniel",22:32,2,6,33%,2,6,33%,0,0,0%,1,0,1,2,2,1,0,0,10
"Mitchell, Tony",20:18,6,6,100%,0,1,0%,4,5,80%,3,4,7,0,4,3,0,0,16
Totals:,,20,37,54%,13,27,48%,13,16,81%,8,17,25,17,18,18,6,1,92
