Simulated Games:,LeBron wins:,Jordan wins:,Lebron score,jordan score,LeBron 3PPGG,Jordan 3PPG,LJ Total Reb,MJ Total Reb,LeBron Blocks,Jordan Blocks,LeBron Steals,Jordan Steals
1,1,0,12.59817193963748,11.103505786093946,1.0408858752462045,0.4044444810421818,-1.588192280758679,1.588192280758679,0.2714967226815451,0.030734237278650708,0.9769151015384678,0.4689198377328434
2,2,0,11.423290016393805,2.861067630004381,0.670580807246255,0.2533652252334475,-3.6814291744919285,3.6814291744919285,0.13974336150457073,0.23968484426247638,1.0866812409321387,1.3062953260877808
3,3,0,-3.1830832518916248,4.568785007927622,0.7998715158659858,0.34977830695045387,1.5341440682929828,-1.5341440682929828,0.3530046956096814,0.1896340933659248,0.2940418206803993,0.2873452070452208
4,4,0,4.449744559579566,11.251179369571393,0.9514190556768782,0.22521066222169428,-3.891521563378744,3.891521563378744,0.48463716926224193,0.10817455807505753,0.6398719929068235,0.021656031123104547
5,5,0,-0.10765810500608325,6.120978552209061,0.7259965319490118,0.15248343796174355,1.4335961181814016,-1.4335961181814016,0.42757842761439435,0.37443328226365735,0.25562538080387154,0.3640144346289398
6,5,1,9.247233600363144,1.5210243225072086,0.1771052529996749,0.42626484863128034,0.14495944543642675,-0.14495944543642675,0.4542975671514821,0.09226321968253387,0.7402410796693736,1.0293038299660657
7,6,1,-2.5556246271939638,10.75647973813548,0.7787185397327439,0.022679004816509314,-0.8661834464066374,0.8661834464066374,0.48448960335221924,0.1433979156510844,0.6031198850030546,0.795830011776581
8,6,2,5.027968038761502,1.2355919585993436,0.6963524628932087,0.019330777322399014,-3.0776071237483427,3.0776071237483427,0.2169701561253028,0.4301056521636762,0.37502257226865143,0.3908792879512184
9,7,2,13.140802460822345,11.991316721119079,1.0379888457159892,0.35949985422796643,0.6793207169279412,-0.6793207169279412,0.26072789775455074,0.04003476939711195,0.1240995828853308,0.010163176844173866
10,8,2,5.572176174682148,12.755200991859839,0.9756113436303071,0.002583564622003532,-0.7271789468615639,0.7271789468615639,0.2696840755218986,0.06795768164983758,0.192224442825361,1.39566559519707
11,9,2,12.680584051344868,10.387005236227704,0.46826724059583225,0.05155545611626358,-3.032180293496935,3.032180293496935,0.3274614886014687,0.21926881342048649,0.761998670606082,1.5899192828827544
12,9,3,11.38587080140989,2.3422329984519026,0.34750798366018437,0.1426466883816604,-1.9423716501208144,1.9423716501208144,0.40013268828169685,0.10221499115819412,0.6317510784247786,0.9408548223861701
13,10,3,7.5944395949726475,3.3809314604682306,1.024789885733788,0.1425802400786795,-1.1830549270394919,1.1830549270394919,0.09995965511716609,0.3036485857268625,1.0476183576150597,0.7620618511235464
14,11,3,7.297267200614149,10.529143240219891,0.38985586988730603,0.07517649133915341,0.18404638279205798,-0.18404638279205798,0.48280058049761054,0.2984297045927536,0.04485019929368,1.7549124217255865
15,12,3,14.781428546742205,0.5921395510302243,0.01930191651485212,0.0073493392834359395,-1.44888008968963,1.44888008968963,0.21408530444199325,0.43438338879676713,0.8595136983257006,0.18149639717587146
