Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Caballero, Angel",5:28,1,1,100%,0,0,0%,2,2,100%,1,0,1,0,1,0,0,0,4
"Verdejo, Jesus",7:22,1,1,100%,0,1,0%,0,0,0%,1,2,3,1,1,0,0,0,2
"García, Jonathan",11:09,2,3,67%,0,2,0%,0,0,0%,0,3,3,4,0,1,1,0,4
"Rosas, Samuel",6:42,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,1,0,0,0
"Bruton, C.J.",22:09,0,0,0%,4,6,67%,0,0,0%,0,2,2,8,1,1,0,0,12
"Rodriguez, Ricardo",3:48,0,2,0%,1,3,33%,0,0,0%,0,0,0,0,0,0,0,0,3
"Jones, Joel",27:03,7,11,64%,3,6,50%,1,2,50%,1,5,6,4,0,0,2,0,24
"Alamo, Angel 'Junito'",13:41,5,5,100%,0,0,0%,0,0,0%,1,3,4,1,2,2,1,1,10
"Huertas, David",25:35,0,2,0%,6,9,67%,2,2,100%,1,1,2,3,2,1,4,0,20
"Ramos, Peter John",21:57,8,14,57%,0,0,0%,0,1,0%,4,4,8,2,1,0,0,2,16
"Stevenson, Greg",13:29,2,5,40%,0,1,0%,0,0,0%,3,0,3,1,1,2,0,0,4
"Redhage, Shawn",28:01,6,10,60%,1,3,33%,0,0,0%,2,2,4,8,3,0,0,0,15
"Lockhart, Ian",6:17,0,0,0%,0,0,0%,0,0,0%,1,2,3,0,2,0,0,0,0
"Ricardo, Osiris",7:19,0,1,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0
Totals:,,32,55,58%,15,31,48%,5,7,71%,15,24,39,32,14,8,8,3,114
