Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Jourdon, Keenan",21:35,2,5,40%,0,4,0%,0,2,0%,4,4,8,1,3,2,4,0,4
"Ramirez, Luis S.",4:14,0,1,0%,0,0,0%,0,0,0%,0,0,0,1,0,0,0,0,0
"Maye, James",38:46,7,10,70%,3,6,50%,6,6,100%,1,6,7,4,2,0,0,1,29
"Sanchez, Kennel",18:29,3,3,100%,2,4,50%,0,1,0%,1,3,4,2,2,1,0,0,12
"Carmona, Alejandro 'Bimbo'",28:56,8,10,80%,0,1,0%,2,5,40%,3,4,7,2,2,1,2,2,18
"Vazquez, Christian",4:33,0,0,0%,1,2,50%,0,0,0%,0,0,0,1,0,0,0,0,3
"Graham, Paul",31:13,3,8,38%,0,2,0%,3,5,60%,2,7,9,2,2,2,0,0,9
"Lopez, Ivan",22,1,3,33%,0,0,0%,1,2,50%,0,3,3,1,2,3,0,2,3
"Langhi, Dan",29:57,3,6,50%,0,4,0%,0,0,0%,0,3,3,1,5,0,1,3,6
Totals:,,27,46,59%,6,23,26%,12,21,57%,11,30,41,15,18,9,7,8,84
