Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Viñales, Kyle",20:01,3,7,43%,0,1,0%,0,0,0%,1,3,4,2,2,2,1,0,6
"Hinson, Darnell",38:33,2,4,50%,3,9,33%,7,9,78%,0,5,5,5,2,2,1,0,20
"Piñeiro, Juan Pablo",7:05,0,0,0%,0,2,0%,0,0,0%,0,0,0,1,2,1,1,0,0
"Wilkins, Damien",32:18,4,12,33%,1,4,25%,3,4,75%,3,3,6,6,4,2,1,0,14
"Fillyaw, Marcus",24:09,2,3,67%,0,3,0%,0,0,0%,0,2,2,4,2,1,1,0,4
"Nieves, Joel",12:20,0,2,0%,0,2,0%,0,0,0%,0,0,0,0,1,0,0,0,0
"Williams, Leon V.",37:05,8,11,73%,0,0,0%,1,2,50%,2,10,12,0,4,2,0,0,17
"Penn, Kleon",28:25,5,5,100%,0,0,0%,3,3,100%,2,9,11,2,4,0,0,2,13
Totals:,,24,44,55%,4,21,19%,14,18,78%,8,32,40,20,21,10,5,2,74
