Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"López, Carlos 'Yao'",18:01,1,5,20%,0,1,0%,3,6,50%,2,4,6,0,3,3,1,0,5
"Figueroa, Carlos",2:03,0,0,0%,1,1,100%,0,0,0%,0,0,0,0,0,0,0,0,3
"Cordero, Esteban",4:34,0,0,0%,0,0,0%,0,2,0%,0,1,1,0,1,2,0,0,0
"Sosa, Isaac",27:15,4,4,100%,1,5,20%,0,0,0%,0,5,5,2,1,2,1,0,11
"Berrios, Kevin",2:03,0,1,0%,0,1,0%,0,0,0%,0,0,0,0,0,0,0,0,0
"Browne, Gary",32:05,3,9,33%,1,3,33%,1,2,50%,0,3,3,13,2,4,3,0,10
"Franklin, Alexander",27:25,7,9,78%,1,4,25%,2,4,50%,2,3,5,3,2,3,0,2,19
"Ruiz, Gabriel",6:58,0,0,0%,0,0,0%,0,0,0%,0,2,2,0,3,1,0,0,0
"Cruz, William",5:23,0,0,0%,0,0,0%,0,0,0%,0,0,0,1,2,1,0,0,0
"Keenan, Justin",25:16,2,4,50%,1,1,100%,0,2,0%,1,5,6,0,3,4,1,0,7
"Ebanks, Devin",30:40,2,9,22%,2,4,50%,5,8,63%,1,3,4,1,0,1,0,4,15
"Branch, Onzie",18:13,1,1,100%,0,0,0%,2,3,67%,0,2,2,1,2,1,1,0,4
Totals:,,20,42,48%,7,20,35%,13,27,48%,6,28,34,21,19,22,7,6,74
