Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Drew II, Larry",19:10,1,3,33%,1,2,50%,0,0,0%,0,1,1,8,2,1,1,0,5
"Acevedo, Samuel",1:39,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0
"Rosario, Mike",18:06,5,6,83%,2,5,40%,1,1,100%,0,2,2,2,1,2,0,0,17
"García, Jonathan",23:13,0,0,0%,4,6,67%,0,0,0%,0,3,3,3,1,3,3,0,12
"Jimenez, Giovanni",3:05,0,0,0%,0,0,0%,2,2,100%,0,1,1,0,0,0,0,0,2
"Carmona, Alejandro 'Bimbo'",27:40,4,7,57%,3,4,75%,0,0,0%,2,8,10,3,1,0,0,1,17
"Rosa, Angel R.",4:10,0,0,0%,0,1,0%,0,0,0%,0,1,1,2,0,0,0,1,0
"Hernández, Luis 'Pelacoco'",21:36,4,7,57%,0,1,0%,0,3,0%,3,0,3,2,3,0,3,1,8
"Rosado, Erick",3:05,0,0,0%,0,1,0%,0,0,0%,0,2,2,0,1,0,0,0,0
"Díaz, Jorge Brian",26:55,4,5,80%,0,0,0%,0,0,0%,2,3,5,1,3,2,0,0,8
"Rosario, Brian A.",1:39,0,0,0%,2,2,100%,0,0,0%,1,0,1,0,0,0,0,0,6
"Rodriguez, Ernesto",1:26,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,1,0,0,0
"Smith, Donta",24:11,3,3,100%,2,5,40%,2,2,100%,0,2,2,8,1,0,0,0,14
"Mojica, Javier",23:58,2,6,33%,2,4,50%,4,5,80%,2,2,4,2,1,0,0,0,14
Totals:,,23,37,62%,16,31,52%,9,13,69%,10,25,35,31,14,9,7,3,103
