Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Ortiz, Chris",22:33,4,9,44%,0,0,0%,3,3,100%,2,3,5,2,1,3,2,0,11
"Zambrana, Xavier",21:02,4,11,36%,0,1,0%,0,0,0%,2,3,5,2,2,0,1,2,8
"James, Damion",15:04,1,5,20%,0,0,0%,0,0,0%,0,3,3,7,1,0,0,0,2
"Ayuso, Elias 'Larry'",18:11,3,3,100%,5,8,63%,0,0,0%,0,0,0,2,0,1,0,0,21
"Villafane, Luis",16:11,4,7,57%,0,0,0%,1,1,100%,2,3,5,1,0,0,0,0,9
"Berdiel, Miguel 'Ali'",16:36,2,3,67%,1,2,50%,0,2,0%,1,3,4,1,2,2,1,0,7
"Colón, Alexis 'Bebo'",21:17,1,1,100%,1,3,33%,0,1,0%,2,10,12,3,2,1,2,0,5
"Meléndez, Ricardo 'Ricky'",16:01,0,2,0%,2,3,67%,0,0,0%,0,1,1,0,0,2,1,0,6
"Ruiz, Jared",12:27,2,6,33%,0,3,0%,0,0,0%,0,2,2,3,0,0,1,0,4
"Miro, Steven",23:23,1,3,33%,0,1,0%,2,2,100%,1,2,3,4,4,0,0,0,4
"Buckner, Reggie",17:09,5,5,100%,0,0,0%,1,2,50%,0,1,1,0,1,0,0,0,11
Totals:,,27,55,49%,9,21,43%,7,11,64%,10,31,41,25,13,9,8,2,88
