Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Mojica, Sammy",14:45,1,2,50%,0,0,0%,0,0,0%,1,1,2,1,2,0,0,0,2
"Nuñez, Angel",21:33,3,5,60%,1,3,33%,1,4,25%,2,1,3,2,3,1,3,1,10
"Rodriguez, Angel Daniel",32:46,5,8,63%,2,6,33%,4,6,67%,0,6,6,8,4,3,0,0,20
"Negron, Alexis J.",0:04,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0
"Santiago, Jr., Benito",32:43,5,6,83%,4,8,50%,4,4,100%,0,6,6,0,3,1,0,1,26
"Hernandez, Dewan",20:07,3,8,38%,0,0,0%,2,2,100%,2,3,5,1,2,3,0,0,8
"Pearson, Ryan",12:38,2,2,100%,1,1,100%,0,0,0%,0,0,0,0,2,1,1,0,7
"Romero, Ismael",25:42,5,8,63%,0,0,0%,1,2,50%,1,3,4,3,1,0,1,0,11
"Cuascut, Luis D",3:47,0,0,0%,0,1,0%,0,0,0%,0,0,0,0,1,0,0,0,0
"Mojica, Javier",35:55,4,5,80%,2,6,33%,3,6,50%,1,4,5,7,2,2,1,0,17
Totals:,,28,44,64%,10,25,40%,15,24,63%,7,24,31,22,20,11,6,2,101
