Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Parks, Emilio",3:47,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0
"Young, Mike",36:58,9,16,56%,0,2,0%,1,2,50%,2,2,4,3,1,2,1,1,19
"Torres, Andres",3:01,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,2,0,0,0,0
"Duran, Cliff",6:12,0,0,0%,0,1,0%,0,0,0%,1,0,1,0,0,1,0,0,0
"Belardo, Gabriel J.",5:07,1,1,100%,0,1,0%,0,0,0%,0,0,0,0,0,0,0,0,2
"Colon, Gabriel 'Pirulo'",23:01,4,5,80%,0,0,0%,0,0,0%,5,4,9,3,1,1,1,0,8
"Reese, Derek",1:50,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,1,0,0,0,0
"Emory, Carlos",27:38,3,5,60%,1,4,25%,0,0,0%,4,2,6,2,4,1,0,0,9
"Rivera, Carlos Rubén",36:44,0,3,0%,3,7,43%,2,2,100%,0,5,5,7,5,1,0,0,11
"Curry, Terrence 'T.J.'",0:15,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0
"Ruiz, Jared",0:15,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,1,0,0,0,0
"Ramos, Peter John",13:41,2,4,50%,0,2,0%,1,4,25%,1,1,2,1,2,3,0,0,5
"Vassallo, Ángel Daniel",27:50,1,5,20%,5,10,50%,0,0,0%,1,3,4,3,2,0,0,0,17
"Wafer, Vakeaton",13:35,1,2,50%,1,1,100%,3,3,100%,0,0,0,0,0,0,1,0,8
Totals:,,21,41,51%,10,28,36%,7,11,64%,14,17,31,19,19,9,3,1,79
