Pos,Team,Pld,W,L,RF,RA,RD,PCT,GB,Qualification
1,Mexico,3,2,1,19,7,+12,.667[a],—,Advance to second round
2,United States (H),3,2,1,25,8,+17,.667[a],—,Advance to second round
3,Canada,3,2,1,20,23,−3,.667[a],—,
4,South Africa,3,0,3,12,38,−26,.000,2,
