Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Diaz, Guillermo",30:53,4,4,100%,0,2,0%,7,11,64%,1,5,6,5,3,1,1,0,15
"Ocasio, Jonathan",2:17,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0
"Orozco, William",13:33,2,4,50%,1,3,33%,1,2,50%,0,2,2,1,1,1,1,0,8
"Phelps, Eugene",29:23,7,10,70%,0,0,0%,7,10,70%,1,7,8,4,2,1,0,0,21
"Branch, Onzie",33:13,1,3,33%,0,0,0%,3,4,75%,1,3,4,6,0,0,0,0,5
"Galindo, Alex",11:08,1,1,100%,1,3,33%,0,0,0%,0,3,3,0,0,1,0,0,5
"Ayuso, Elias 'Larry'",13:55,1,1,100%,2,3,67%,1,1,100%,0,0,0,0,3,0,0,0,9
"Butler, Nathaniel",3:22,1,1,100%,0,0,0%,0,0,0%,0,0,0,1,0,0,0,0,2
"Sosa, Isaac",30:04,2,2,100%,4,8,50%,2,3,67%,0,4,4,4,1,2,1,0,18
"Tyler, Jeremy",22:59,6,7,86%,1,3,33%,4,5,80%,2,3,5,2,5,3,0,0,19
"Tejada, Lance",9:06,0,3,0%,0,0,0%,2,3,67%,0,1,1,1,1,0,0,0,2
Totals:,,25,36,69%,9,22,41%,27,39,69%,5,28,33,24,16,9,3,0,104
