Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Manderson, Isaiah",11:19,1,3,33%,0,0,0%,0,0,0%,2,1,3,0,3,0,0,0,2
"Rudd, Victor",37,0,5,0%,5,10,50%,2,2,100%,0,9,9,5,1,3,1,0,17
"Clemente, Denis",29:56,3,4,75%,2,7,29%,0,0,0%,0,5,5,11,2,3,2,0,12
"Pérez, Rafael",5:51,0,1,0%,0,1,0%,0,0,0%,1,0,1,0,1,0,0,0,0
"Villegas, Johwen",27:40,0,3,0%,2,5,40%,2,2,100%,1,2,3,2,5,1,0,0,8
"López, Carlos 'Yao'",25:48,6,8,75%,0,1,0%,1,1,100%,4,4,8,1,3,3,1,2,13
"Cintrón, Raymond",21:49,0,0,0%,1,4,25%,1,1,100%,0,0,0,0,1,0,0,0,4
"Pizarro, Christian Jomar",10:27,1,4,25%,1,1,100%,0,0,0%,1,0,1,2,1,1,0,0,5
"Matías, Ángel L.",20:26,6,9,67%,1,3,33%,1,2,50%,3,2,5,1,1,0,1,0,16
"Rodriguez, Wilfredo 'Willie'",9:40,3,3,100%,0,1,0%,0,0,0%,1,1,2,0,2,2,0,0,6
Totals:,,20,40,50%,12,33,36%,7,8,88%,13,24,37,22,20,13,5,2,83
