Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Torres, Dario",2:20,0,2,0%,0,0,0%,0,0,0%,0,1,1,0,0,0,0,0,0
"Guzmán, Ánsel",37:40,5,11,45%,1,3,33%,2,8,25%,1,2,3,4,3,2,1,0,15
"Orozco, William",10:24,2,3,67%,0,2,0%,0,3,0%,0,0,0,2,1,1,0,1,4
"Rosa, Luis",3:24,0,3,0%,0,0,0%,0,0,0%,1,1,2,2,1,0,0,0,0
"Ayala, Sadell",26:02,1,2,50%,0,3,0%,0,0,0%,1,5,6,2,2,0,2,0,2
"Nieves, Joel",17:46,4,7,57%,1,3,33%,0,0,0%,2,1,3,0,3,0,0,0,11
"Life, James",38:50,2,2,100%,5,10,50%,8,9,89%,2,3,5,3,1,3,2,0,27
"Meeking, Antonio",33:36,4,8,50%,2,8,25%,0,0,0%,3,10,13,2,4,4,0,1,14
"Looby, Kurt",29:58,3,6,50%,0,0,0%,0,0,0%,2,5,7,1,3,3,0,4,6
Totals:,,21,44,48%,9,29,31%,10,20,50%,12,28,40,16,18,13,5,6,79
