Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Alvarado, Omar J.",14:14,0,2,0%,0,0,0%,0,0,0%,2,2,4,1,1,0,0,1,0
"Pagan, Wilfredo",12:38,2,4,50%,0,0,0%,0,0,0%,0,1,1,0,1,1,2,0,4
"Ricardo, Osiris",2:39,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,1,1,0,1,0
"Cruz, Rafael 'Pachy'",13:32,1,3,33%,0,0,0%,2,2,100%,0,1,1,2,2,3,1,0,4
"Rivera, Raul",12:03,3,5,60%,0,0,0%,0,0,0%,2,2,4,0,3,0,1,0,6
"Cortes, David",15:48,2,8,25%,1,2,50%,0,0,0%,0,0,0,0,2,0,1,2,7
"Watson, Michael",16:43,1,2,50%,1,7,14%,0,0,0%,0,5,5,1,1,0,2,0,5
"Pinnock, Danilo",22:50,3,7,43%,0,4,0%,3,4,75%,0,6,6,1,4,5,1,0,9
"Rivera, Carlos Rubén",27:22,2,5,40%,1,5,20%,5,5,100%,1,4,5,1,3,2,4,0,12
"Figueroa, Angel 'Buster'",29:14,6,15,40%,0,3,0%,4,5,80%,6,3,9,2,3,2,1,0,16
"Aubry, Jeffrion",32:09,4,9,44%,0,0,0%,0,2,0%,5,5,10,0,2,1,3,5,8
"Hernandez, Samuel",0:48,0,1,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0
Totals:,,24,61,39%,3,21,14%,14,18,78%,16,29,45,8,23,15,16,9,71
