Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Coronado, Juan",30:32,0,0,0%,1,1,100%,0,0,0%,0,4,4,2,5,0,1,0,3
"Rodriguez, Erick",16:18,2,4,50%,1,1,100%,0,0,0%,0,0,0,1,1,0,0,1,7
"Torres, Andres",9:27,0,0,0%,0,1,0%,0,0,0%,0,1,1,1,3,2,0,0,0
"Figueroa, Angel 'Buster'",25:49,4,5,80%,0,4,0%,1,1,100%,0,2,2,2,0,0,0,0,9
"Jones, Joel",37:52,4,7,57%,2,7,29%,2,3,67%,0,2,2,1,3,1,0,0,16
"Balkman, Renaldo",37:58,7,14,50%,0,0,0%,9,13,69%,1,2,3,3,3,2,2,3,23
"Brock, Evan",24:05,4,10,40%,0,0,0%,5,6,83%,1,7,8,3,3,1,1,1,13
"Harrellson, Josh",17:56,2,5,40%,1,2,50%,0,0,0%,2,5,7,1,4,4,1,0,7
Totals:,,23,45,51%,5,16,31%,17,23,74%,4,23,27,14,22,10,5,5,78
