Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Suárez, Rasham",23:38,2,2,100%,0,5,0%,2,4,50%,0,2,2,2,2,2,2,0,6
"Mojica, Sammy",14:08,1,2,50%,1,2,50%,1,2,50%,0,1,1,0,1,0,0,0,6
"Rivera, Angel 'Comby'",6:04,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0
"Branch, Onzie",11:17,0,1,0%,0,1,0%,0,2,0%,1,2,3,1,4,0,1,0,0
"Cordero, Esteban",3:57,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,1,1,0,0,0
"Ruiz, Gabriel",4:41,1,2,50%,0,0,0%,0,0,0%,0,0,0,0,2,0,0,0,2
"López, Carlos 'Yao'",20:10,1,4,25%,0,1,0%,0,7,0%,1,3,4,1,3,0,0,0,2
"Sosa, Isaac",29:45,1,3,33%,2,4,50%,2,2,100%,0,2,2,6,1,3,1,0,10
"Maldonado, Diego",6:22,0,1,0%,0,1,0%,0,0,0%,0,0,0,0,0,0,0,0,0
"Mayo, Ovinton 'O.J'",36:30,7,9,78%,2,6,33%,7,9,78%,2,2,4,6,2,5,1,0,27
"Franklin, Alexander",21:53,1,2,50%,4,6,67%,2,2,100%,0,2,2,1,4,0,0,1,16
"Brady, Chris",21:30,2,5,40%,2,2,100%,1,2,50%,4,2,6,0,3,3,0,1,11
Totals:,,16,31,52%,11,28,39%,15,30,50%,8,16,24,17,23,14,5,2,80
