Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Suárez, Rasham",21:22,2,2,100%,2,5,40%,0,0,0%,0,5,5,4,3,2,1,0,10
"Díaz, Jorge Brian",16:45,3,4,75%,0,0,0%,0,0,0%,0,1,1,0,0,1,0,0,6
"Daniels, Will",20:49,4,8,50%,1,2,50%,7,8,88%,3,6,9,3,2,1,2,0,18
"Morales, Luis Damian",37:24,4,6,67%,1,2,50%,0,0,0%,5,4,9,6,1,1,2,0,11
"Belardo, Gabriel J.",28:33,4,11,36%,0,1,0%,1,2,50%,0,2,2,4,3,2,2,0,9
"Ayuso, Elias 'Larry'",32:38,1,5,20%,3,9,33%,3,3,100%,0,3,3,2,2,2,0,0,14
"Petro, Johan",29:58,6,10,60%,1,1,100%,0,2,0%,0,7,7,1,4,2,0,2,15
"Garcia, Angel 'Piwi'",12:26,0,2,0%,0,1,0%,0,0,0%,1,0,1,0,1,0,0,1,0
Totals:,,24,48,50%,8,21,38%,11,15,73%,9,28,37,20,16,11,7,3,83
