Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Lee, Carmelo Antrone",17:22,2,4,50%,0,2,0%,0,0,0%,0,1,1,2,3,0,1,0,4
"Cummings, Vonteego",6:43,0,1,0%,0,1,0%,0,0,0%,0,2,2,0,0,0,0,0,0
"García, Jonathan",33:16,3,5,60%,3,6,50%,6,6,100%,1,2,3,3,3,4,0,0,21
"Colón, Alexis 'Bebo'",9:03,0,0,0%,0,0,0%,0,0,0%,0,1,1,1,1,0,0,0,0
"Ubiles, Edwin",9:40,0,0,0%,1,2,50%,0,0,0%,0,1,1,0,0,0,0,0,3
"Efejuku-Rose, Weyinmi",37:03,6,10,60%,2,3,67%,5,6,83%,3,6,9,4,2,3,1,0,23
"Dyer, Alphonse",14:03,0,1,0%,0,0,0%,1,2,50%,0,3,3,0,4,0,0,1,1
"James, Jerome",10:10,1,6,17%,0,0,0%,1,4,25%,2,2,4,0,3,2,1,0,3
"Butler, Nathaniel",0:12,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0
"Meléndez, Ricardo 'Ricky'",24:42,2,3,67%,1,5,20%,0,0,0%,0,1,1,2,1,0,0,0,7
"Sánchez, Ricardo 'Ricky'",37:40,5,9,56%,1,4,25%,3,5,60%,3,10,13,1,2,0,2,1,16
Totals:,,19,39,49%,8,23,35%,16,23,70%,9,29,38,13,19,9,5,2,78
