Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"De Jesús, Jezreel",25:06,5,10,50%,1,2,50%,0,0,0%,0,4,4,1,0,0,1,0,13
"Rodriguez, Jose G.",31:33,4,7,57%,2,4,50%,5,8,63%,1,5,6,2,3,2,0,0,19
"Ramirez, Luis S.",16:58,0,0,0%,0,0,0%,1,1,100%,0,0,0,3,3,0,1,0,1
"Duran, Cliff",33:16,0,3,0%,1,4,25%,2,2,100%,1,4,5,4,4,1,1,0,5
"Caraballo, Jerome",0:07,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0
"Butler, Nathaniel",13:20,3,4,75%,1,1,100%,3,4,75%,0,1,1,0,1,3,1,1,12
"Fournier, Pedro",0:26,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,1,0,0,0,0
"Laury, David",23:27,5,13,38%,0,1,0%,5,7,71%,6,4,10,4,5,2,1,0,15
"West, Brandon",26:32,5,7,71%,0,0,0%,2,4,50%,3,3,6,1,3,0,0,1,12
"Collier, Devon",29:10,5,12,42%,0,1,0%,1,2,50%,2,4,6,2,2,2,1,1,11
Totals:,,27,56,48%,5,13,38%,19,28,68%,13,25,38,17,22,10,6,3,88
