Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Soto, Joseph",30:28,2,4,50%,2,3,67%,0,0,0%,0,3,3,5,4,1,0,0,10
"Liz, Víctor",24:25,2,5,40%,1,5,20%,3,6,50%,2,4,6,2,2,1,0,0,10
"Elonu, Chinemelu",18:48,5,7,71%,0,0,0%,0,0,0%,2,9,11,1,4,2,0,2,10
"Agosto, Jeremy",1:20,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0
"Gaston, Chris",25:38,8,10,80%,0,0,0%,1,1,100%,1,6,7,0,2,0,0,1,17
"Rodríguez, Jonathan",22:22,0,1,0%,0,3,0%,3,3,100%,0,4,4,1,1,2,1,0,3
"Boyd, Brandon",9:32,1,3,33%,2,6,33%,1,1,100%,2,1,3,1,0,1,0,0,9
"Cintrón, Raymond",12:35,0,0,0%,1,4,25%,1,2,50%,0,1,1,0,1,1,1,0,4
"Huertas, David",33:35,2,3,67%,3,8,38%,0,0,0%,1,3,4,3,3,2,3,0,13
"Collier, Devon",16:28,1,3,33%,0,0,0%,2,4,50%,3,1,4,1,0,0,1,1,4
"Souberbielle, Marcel",4:49,1,2,50%,0,1,0%,0,0,0%,0,1,1,0,1,0,1,0,2
Totals:,,22,38,58%,9,30,30%,11,17,65%,11,33,44,14,18,10,7,4,82
