Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"O'Bryant, Orin",0:38,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,1,0,0,0,0
"Akindele, Jeleel",38:08,10,12,83%,0,0,0%,9,11,82%,5,5,10,2,4,4,3,0,29
"Tucker, Clay",39:35,4,6,67%,4,11,36%,0,0,0%,1,2,3,4,2,1,3,0,20
"Berdiel, Miguel 'Ali'",35:57,5,8,63%,0,5,0%,0,0,0%,1,2,3,8,5,5,2,0,10
"Torres, Andres",20:31,2,2,100%,1,4,25%,0,0,0%,1,1,2,1,3,1,0,0,7
"Sanabria, Jorge",15:50,1,2,50%,1,2,50%,4,4,100%,1,3,4,0,2,1,2,0,9
"Garcia, Francisco",19:32,2,4,50%,1,3,33%,1,2,50%,1,0,1,4,2,2,0,1,8
"Villegas, Samuel",2:29,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0
"Franklin, Alexander",27:15,4,6,67%,2,3,67%,5,8,63%,1,6,7,3,3,1,1,0,19
Totals:,,28,40,70%,9,28,32%,19,25,76%,11,19,30,22,22,15,11,1,102
