Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Mojica, Sammy",21:25,1,2,50%,0,0,0%,0,0,0%,0,3,3,5,4,1,4,1,2
"Duran, Cliff",31:26,0,2,0%,2,4,50%,1,2,50%,1,1,2,6,4,7,1,0,7
"Nuñez, Angel",32:36,1,3,33%,3,8,38%,2,2,100%,0,4,4,2,0,2,0,0,13
"Santiago, Jr., Benito",26:03,0,1,0%,1,4,25%,5,5,100%,0,2,2,4,4,1,1,0,8
"Hernandez, Dewan",15:29,2,5,40%,0,0,0%,0,0,0%,2,4,6,1,5,4,0,1,4
"Pearson, Ryan",8:17,2,2,100%,0,0,0%,0,0,0%,0,1,1,1,2,1,0,0,4
"Romero, Ismael",26:16,7,10,70%,0,0,0%,1,7,14%,1,5,6,3,2,1,0,1,15
"Cuascut, Luis D",3:58,0,2,0%,0,0,0%,0,0,0%,0,0,0,1,0,0,0,0,0
"Mojica, Javier",34:30,10,12,83%,4,5,80%,4,4,100%,0,5,5,3,4,2,0,0,36
Totals:,,23,39,59%,10,21,48%,13,20,65%,4,25,29,26,25,19,6,3,89
