Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Reese, Derek",32:12,5,9,56%,2,5,40%,4,4,100%,1,3,4,3,3,2,1,0,20
"Ledo, Ricardo",34:04,2,4,50%,5,8,63%,4,7,57%,0,4,4,2,4,3,1,0,23
"Berdiel, Miguel 'Ali'",15:01,0,2,0%,1,3,33%,1,2,50%,1,2,3,1,0,1,0,0,4
"Garrett, Diante",38:50,2,5,40%,1,3,33%,2,4,50%,1,3,4,12,3,5,2,0,9
"Ortiz, Jose",3:47,0,0,0%,0,0,0%,2,2,100%,1,0,1,0,0,0,0,0,2
"Martínez, Wil",29:35,3,8,38%,1,3,33%,5,6,83%,0,0,0,1,2,0,1,0,14
"Parker-Rivera, Timajh",29:46,3,6,50%,0,0,0%,2,4,50%,3,3,6,4,2,3,1,1,8
"Torres, Julian",8:04,1,5,20%,0,0,0%,1,2,50%,4,0,4,0,3,0,0,0,3
"Alamo, Angel 'Junito'",8:41,2,2,100%,0,2,0%,0,0,0%,0,0,0,0,1,1,0,0,4
Totals:,,18,41,44%,10,24,42%,21,31,68%,11,15,26,23,18,15,6,1,87
