Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"De Jesus, Felix",8:33,1,1,100%,1,3,33%,0,0,0%,0,0,0,1,1,1,0,0,5
"Morales, Ferdinand",12:06,2,6,33%,0,2,0%,0,0,0%,1,0,1,0,1,0,1,0,4
"Martínez, Wil",33:16,2,6,33%,4,10,40%,4,5,80%,0,5,5,4,2,0,1,0,20
"Guzmán, Ánsel",5:18,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,1,1,0,0,0
"Rodriguez, Pablo",1:14,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,1,0
"Cintrón, Raymond",33:16,0,0,0%,2,9,22%,2,2,100%,1,1,2,6,0,2,0,0,8
"Gierbolini, Joel",29:35,5,11,45%,0,0,0%,3,6,50%,4,9,13,2,3,1,2,1,13
"Orozco, William",28:47,5,8,63%,2,7,29%,0,0,0%,1,3,4,2,3,2,0,2,16
"Perez, Jaime",3:30,1,1,100%,1,1,100%,0,0,0%,0,1,1,1,0,0,0,0,5
"De Jesus, Manuel",12:43,0,2,0%,0,2,0%,2,2,100%,0,0,0,1,3,1,0,1,2
"Rodriguez, Michael",15:25,2,3,67%,0,0,0%,0,1,0%,0,0,0,2,1,0,0,0,4
"Perez, Yudniel",16:11,1,1,100%,0,1,0%,0,0,0%,1,2,3,2,0,1,1,0,2
Totals:,,19,39,49%,10,35,29%,11,16,69%,8,21,29,21,15,9,5,5,79
