Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Rosario, Mike",29:24,5,10,50%,2,4,50%,0,0,0%,0,3,3,2,3,0,0,1,16
"Pagan, Wilfredo",9:57,0,0,0%,0,1,0%,0,0,0%,0,1,1,2,3,2,2,0,0
"Colon, Gabriel 'Pirulo'",1:07,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0
"De Jesus, Manuel",5:24,0,0,0%,1,2,50%,0,0,0%,0,2,2,0,0,0,0,0,3
"Griffin, Eric",34:35,3,11,27%,2,5,40%,3,4,75%,1,3,4,3,2,1,1,1,15
"Villegas, Johwen",10:35,0,0,0%,0,2,0%,0,0,0%,0,0,0,1,0,0,0,0,0
"Emory, Carlos",7:59,2,3,67%,1,1,100%,0,0,0%,1,0,1,0,0,0,1,0,7
"Rivera, Carlos Rubén",30:02,1,3,33%,0,0,0%,4,4,100%,1,4,5,4,2,1,1,0,6
"Vassallo, Ángel Daniel",32,4,8,50%,1,5,20%,4,4,100%,3,3,6,1,3,2,0,2,15
"Harris, Mike",38:52,6,18,33%,2,3,67%,0,0,0%,4,7,11,2,2,0,0,0,18
Totals:,,21,53,40%,9,23,39%,11,12,92%,10,23,33,15,15,6,5,4,80
