Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Sanchez, Kennel",5:23,1,1,100%,1,1,100%,0,0,0%,0,1,1,1,1,0,0,0,5
"Hatton, Roberto Jose 'Bobby Joe'",23:15,1,5,20%,0,2,0%,4,4,100%,0,2,2,5,3,0,0,1,6
"Dalmau, Christian",31:24,4,6,67%,1,5,20%,4,7,57%,0,4,4,1,4,5,1,0,15
"Lee, Carmelo Antrone",32:22,1,6,17%,0,2,0%,3,4,75%,1,4,5,0,1,1,2,1,5
"Shannon, Terrence",34:19,2,5,40%,0,1,0%,3,4,75%,1,3,4,1,2,3,1,1,7
"Barbosa, Raymond",9:15,4,6,67%,0,0,0%,0,0,0%,1,2,3,1,0,0,2,0,8
"Mojica, Javier",36:17,3,7,43%,4,6,67%,0,0,0%,1,4,5,2,0,3,3,1,18
"Rickert, Rick",24:06,5,9,56%,0,0,0%,4,6,67%,5,6,11,0,2,0,1,0,14
"Lopez, Ivan",3:37,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,2,0,0,0,0
Totals:,,21,45,47%,6,17,35%,18,25,72%,9,26,35,11,15,12,10,4,78
