Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Gonzalez, Javier",6:01,0,0,0%,0,0,0%,0,0,0%,0,0,0,2,0,1,1,0,0
"Liz, Víctor",7:21,0,1,0%,0,1,0%,2,2,100%,1,1,2,0,0,3,0,0,2
"Elonu, Chinemelu",36:31,11,16,69%,0,1,0%,1,2,50%,4,4,8,2,1,0,0,2,23
"Ayon, Gustavo",24:56,2,3,67%,0,0,0%,0,2,0%,4,9,13,6,2,1,0,0,4
"Hodge Jr., Walter",33:59,5,8,63%,4,7,57%,5,7,71%,2,5,7,5,3,3,3,0,27
"Villegas, Johwen",6:46,1,2,50%,0,1,0%,0,0,0%,0,0,0,0,0,0,0,0,2
"Gaston, Chris",11:33,2,4,50%,0,0,0%,0,0,0%,0,3,3,1,2,1,0,0,4
"Rodríguez, Jonathan",32:39,3,6,50%,2,5,40%,2,2,100%,1,2,3,2,2,1,0,0,14
"Huertas, David",33:14,2,6,33%,0,5,0%,2,3,67%,0,0,0,3,4,0,0,0,6
"Rodriguez, Wilfredo 'Willie'",7,0,0,0%,0,0,0%,0,0,0%,1,1,2,0,0,0,0,0,0
Totals:,,26,46,57%,6,20,30%,12,18,67%,13,25,38,21,14,10,4,2,82
