Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Figueroa, Angel 'Buster'",37:56,8,16,50%,2,5,40%,4,6,67%,4,2,6,6,3,0,7,0,26
"Guzmán, Ánsel",37:14,2,6,33%,2,6,33%,2,2,100%,1,1,2,8,4,3,3,0,12
"Freije, Matt",38:22,1,7,14%,4,9,44%,3,3,100%,0,5,5,0,4,2,0,0,17
"Rivera, Jorge Luis",5:41,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,3,0,0,1,0
"Colon, Luis Miguel",5:36,1,1,100%,0,0,0%,0,0,0%,0,0,0,0,1,0,0,0,2
"Sanchez, Angel M.",6:28,0,1,0%,1,2,50%,0,0,0%,1,0,1,1,1,0,0,0,3
"Villegas, Samuel",8:29,0,1,0%,0,0,0%,0,0,0%,0,0,0,0,0,1,0,0,0
"Vega, Christopher",31:31,5,6,83%,2,7,29%,1,1,100%,1,1,2,1,1,1,1,0,17
"Looby, Kurt",28:43,4,7,57%,0,0,0%,0,2,0%,5,4,9,0,5,0,0,6,8
Totals:,,21,45,47%,11,29,38%,10,14,71%,12,13,25,16,22,7,11,7,85
