Date,Local Time,Road Team,Score,Home Team,Inn.,Venue,Game Time,Attendance,Boxscore
"Mar 19, 2023",19:00,Quarterfinal 1 winner,–,Quarterfinal 3 winner,,LoanDepot Park,,,Boxscore
"Mar 20, 2023",19:00,Quarterfinal 2 winner,–,Quarterfinal 4 winner,,LoanDepot Park,,,Boxscore
