Position,Player
C,Yadier Molina
1B,Edwin Encarnación
2B,Robinson Canó
3B,David Wright
SS,José Reyes
OF,Nelson Cruz
OF,Ángel Pagán
OF,Michael Saunders
DH,Hirokazu Ibata
P,Nelson Figueroa
P,Kenta Maeda
P,Fernando Rodney
