Statistic,Name,Total/Avg
Wins,Daisuke Matsuzaka,3
Losses,Rodrigo López Johan Santana Dontrelle Willis,2
Saves,Chan Ho Park,3
Innings pitched,Koji Uehara,17.0
Hits allowed,Koji Uehara,17
Runs allowed,Carl Michaels,10
Earned runs allowed,Carl Michaels,10
ERA*,Yadel Martí,0.00**
Walks,Dontrelle Willis,6
Strikeouts,Koji Uehara,16
WHIP*,Shairon Martis,0.14
