Statistic,Name,Total/Avg
Wins,Daisuke Matsuzaka,3
Losses,Jeremy Guthrie,2
Saves,Francisco Rodríguez,3
Innings pitched,Hisashi Iwakuma,20.0
Hits allowed,Roy Oswalt,17
Runs allowed,Jeremy Guthrie,10
Earned runs allowed,Kwang-hyun Kim,8
ERA*,Enrique González,0.00**
Walks,5 Players,6
Strikeouts,Yu Darvish,20
WHIP*,Rafael Pérez,0.00
