Date,Local Time,Road Team,Score,Home Team,Inn.,Venue,Game Time,Attendance,Boxscore
"Mar 8, 2009",12:00,South Africa,1–8,Cuba,,Foro Sol,2:37,11270,Boxscore
"Mar 8, 2009",19:00,Australia,17–7,Mexico,8.0,Foro Sol,3:43,20821,Boxscore
"Mar 9, 2009",20:00,Mexico,14–3,South Africa,,Foro Sol,3:33,10311,Boxscore
"Mar 10, 2009",20:00,Cuba,5–4,Australia,,Foro Sol,3:29,13396,Boxscore
"Mar 11, 2009",20:00,Mexico,16–1,Australia,6.0,Foro Sol,2:31,16718,Boxscore
"Mar 12, 2009",19:00,Mexico,4–16,Cuba,7.0,Foro Sol,3:33,20149,Boxscore
